"ImageId","left_eye_center_x","left_eye_center_x.All.X..rcv.glmnet","left_eye_center_x.All.X..rcv.glmnet.err","left_eye_center_x.All.X..rcv.glmnet.err.abs","left_eye_center_x.All.X..rcv.glmnet.is.acc"
"Train#0002",64.3329361702,65.9261456785761,1.59320950837612,1.59320950837612,FALSE
"Train#0003",65.0570526316,65.838420267074,0.781367635474041,0.781367635474041,FALSE
"Train#0037",64.7124897959,66.0116678962411,1.29917810034112,1.29917810034112,FALSE
"Train#0051",64.3081411765,66.0489475974153,1.74080642091531,1.74080642091531,FALSE
"Train#0055",64.9971891892,66.0459554565118,1.04876626731185,1.04876626731185,FALSE
"Train#0080",64.5077142857,65.9468138320097,1.43909954630968,1.43909954630968,FALSE
"Train#0103",60.2786341463,65.9489479158214,5.67031376952138,5.67031376952138,FALSE
"Train#0128",64.9412830189,66.11320612023,1.17192310133001,1.17192310133001,FALSE
"Train#0162",64.8560536913,66.2300055739424,1.37395188264243,1.37395188264243,FALSE
"Train#0189",64.1922302158,66.0382447746533,1.84601455885334,1.84601455885334,FALSE
"Train#0210",62.7697021277,66.0212389320884,3.25153680438835,3.25153680438835,FALSE
"Train#0213",64.6807272727,65.95549751858,1.27477024587996,1.27477024587996,FALSE
"Train#0280",64.9777142857,66.0621696314716,1.08445534577162,1.08445534577162,FALSE
"Train#0286",64.2453333333,65.9350827848183,1.68974945151827,1.68974945151827,FALSE
"Train#0293",64.6303636364,66.2318498951292,1.60148625872922,1.60148625872922,FALSE
"Train#0297",64.9184191617,66.0985678407446,1.18014867904462,1.18014867904462,FALSE
"Train#0299",64.1683478261,66.0474036585341,1.87905583243408,1.87905583243408,FALSE
"Train#0303",64.8717037037,66.1058611826925,1.23415747899253,1.23415747899253,FALSE
"Train#0327",64.8458823529,66.014474771124,1.16859241822402,1.16859241822402,FALSE
"Train#0342",64.3013953488,65.947141688148,1.64574633934799,1.64574633934799,FALSE
"Train#0358",64.8709299363,66.0576801192046,1.18675018290462,1.18675018290462,FALSE
"Train#0370",64.4786938776,66.050200932247,1.57150705464699,1.57150705464699,FALSE
"Train#0387",65.023255814,66.1867641222824,1.16350830828236,1.16350830828236,FALSE
"Train#0398",63.9576338028,66.2541394830867,2.29650568028672,2.29650568028672,FALSE
"Train#0417",64.4411076923,66.0732627732616,1.63215508096162,1.63215508096162,FALSE
"Train#0418",63.872503937,65.9881921817797,2.1156882447797,2.1156882447797,FALSE
"Train#0450",63.1373742331,65.9839091452946,2.84653491219456,2.84653491219456,FALSE
"Train#0474",64.9981538462,66.0314525352311,1.03329868903114,1.03329868903114,FALSE
"Train#0495",64.626835443,66.0318389138046,1.40500347080459,1.40500347080459,FALSE
