".rownames","pop.fctr","pop.fctr.All.X...glmnet","pop.fctr.All.X...glmnet.prob","pop.fctr.All.X...glmnet.err","pop.fctr.All.X...glmnet.err.abs","pop.fctr.All.X...glmnet.is.acc"
2,"ultra","ultra",0.684974405877375,FALSE,0,TRUE
3,"pico","pico",0.898899127705294,FALSE,0,TRUE
7,"ultra","ultra",0.737544716946623,FALSE,0,TRUE
8,"ultra","ultra",0.625930815948186,FALSE,0,TRUE
9,"pico","pico",0.892784494914284,FALSE,0,TRUE
10,"pico","pico",0.704162819126415,FALSE,0,TRUE
12,"ultra","ultra",0.664235001578696,FALSE,0,TRUE
15,"nano","nano",0.811939298750976,FALSE,0,TRUE
18,"ultra","ultra",0.767819963134066,FALSE,0,TRUE
20,"pico","pico",0.609768529926128,FALSE,0,TRUE
21,"pico","ultra",0.534730689063374,TRUE,0.400190101275559,FALSE
22,"nano","nano",0.796494535894833,FALSE,0,TRUE
23,"pico","pico",0.812889391863087,FALSE,0,TRUE
25,"ultra","ultra",0.754097893050184,FALSE,0,TRUE
29,"nano","nano",0.561510133770182,FALSE,0,TRUE
32,"ultra","ultra",0.637197131040506,FALSE,0,TRUE
34,"nano","nano",0.964079626987161,FALSE,0,TRUE
35,"pico","pico",0.71345715569867,FALSE,0,TRUE
37,"ultra","ultra",0.627990617447312,FALSE,0,TRUE
39,"ultra","ultra",0.528632412856201,FALSE,0,TRUE
41,"pico","pico",0.683800902803753,FALSE,0,TRUE
42,"synecho","synecho",0.994631524174467,FALSE,0,TRUE
43,"pico","ultra",0.587398669106602,TRUE,0.355186552271277,FALSE
44,"synecho","synecho",0.948614934520456,FALSE,0,TRUE
46,"nano","nano",0.565243639065728,FALSE,0,TRUE
47,"pico","pico",0.936020151487596,FALSE,0,TRUE
49,"nano","nano",0.987379229044876,FALSE,0,TRUE
58,"pico","pico",0.503924165317946,FALSE,0,TRUE
60,"pico","pico",0.612242203488664,FALSE,0,TRUE
61,"ultra","ultra",0.727007899242698,FALSE,0,TRUE
62,"nano","nano",0.998083277578491,FALSE,0,TRUE
63,"pico","pico",0.727067455458874,FALSE,0,TRUE
64,"pico","pico",0.770973371878893,FALSE,0,TRUE
67,"pico","ultra",0.560288884490754,TRUE,0.385393370836974,FALSE
68,"ultra","ultra",0.594982125853764,FALSE,0,TRUE
70,"pico","pico",0.764066006369785,FALSE,0,TRUE
72,"pico","ultra",0.523107730843043,TRUE,0.41977167261321,FALSE
73,"nano","nano",0.536418116179329,FALSE,0,TRUE
74,"nano","nano",0.983967537848755,FALSE,0,TRUE
75,"ultra","ultra",0.717863015945028,FALSE,0,TRUE
78,"synecho","synecho",0.873195467116333,FALSE,0,TRUE
80,"pico","pico",0.632979215094957,FALSE,0,TRUE
81,"pico","ultra",0.545295389029517,TRUE,0.367249725325149,FALSE
